value,status
15,normal
15,normal
15,normal
15,normal
15,normal
15,normal
1023,broken
1023,broken
1023,broken
1023,broken
1023,broken
1023,broken
1023,broken
1023,broken
1023,broken
1023,broken
1023,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
0,broken
16,normal
16,normal
15,normal
16,normal
16,normal
16,normal
15,normal
16,normal
16,normal
16,normal
16,normal
15,normal
16,normal
16,normal
16,normal
16,normal
15,normal
15,normal
16,normal
16,normal
16,normal
15,normal
16,normal
16,normal
16,normal
16,normal
16,normal
15.00,normal
14.00,normal
15.00,normal
14.00,normal
1023.00,broken
1023.00,broken
1023.00,broken
1023.00,broken
1023.00,broken
1023.00,broken
1023.00,broken
1023.00,unknown
1023.00,broken
1023.00,broken
1023.00,broken
1023.00,broken
1023.00,broken
1023.00,broken
1023.00,broken
